listing_id,host_since,host_acceptance_rate,superhost,host_total_listings,neighborhood,room_type,accommodates,beds,min_nights,price
3571,11/22/2008,NA,F,3,Georgetown,NA,6,2,90,200
4197,12/12/2008,0.94,T,2,Capitol Hill,Private room,1,1,7,70
4373,12/27/2008,0.62,T,3,Takoma,Private room,2,1,28,40
4375,12/27/2008,0.62,T,3,Takoma,Private room,1,1,28,40
6165,12/30/2008,1,F,18,Petworth,Private room,1,1,31,82
26147,12/30/2008,1,F,18,Petworth,Private room,1,1,31,53
150109,6/20/2011,1,F,1,Dupont Circle,Entire home/apt,2,1,31,135
153545,6/24/2011,0.99,T,6,Petworth,Private room,1,1,7,59
155859,6/26/2011,0,F,2,Takoma,Private room,1,1,31,50
158714,6/30/2011,1,T,6,Georgetown,Entire home/apt,2,1,180,68
196429,8/11/2011,0.75,F,6,Takoma,Entire home/apt,3,2,31,125
201116,8/17/2011,0.96,F,1,Takoma,Entire home/apt,2,2,31,90
204741,8/22/2011,1,F,3,Bellevue,Private room,2,1,31,33
205809,8/23/2011,0.96,F,1,Petworth,Entire home/apt,6,4,31,103
223922,6/24/2011,0.99,T,6,Petworth,Entire home/apt,3,2,1,118
296196,12/22/2011,1,F,1,Dupont Circle,Entire home/apt,4,1,3,149
326938,1/30/2012,0.53,T,8,Georgetown,Private room,2,1,31,139
355527,9/1/2011,0.9,T,4,Capitol Hill,Entire home/apt,3,1,2,175
382111,3/12/2012,1,T,3,Capitol Hill,Entire home/apt,4,2,3,175
409582,3/30/2012,0.89,T,6,Capitol Hill,Entire home/apt,2,1,2,126
453159,9/21/2009,0.96,T,2,Capitol Hill,Entire home/apt,5,3,3,133
494144,6/30/2011,1,T,6,Georgetown,Entire home/apt,2,1,180,68
542144,6/17/2012,1,F,2,Capitol Hill,Entire home/apt,2,1,31,145
560341,6/24/2011,0.99,T,6,Petworth,Private room,2,1,30,59
563607,6/28/2012,0.99,T,2,Dupont Circle,Entire home/apt,2,1,1,130
610655,7/23/2012,NA,F,2,Petworth,NA,3,1,31,89
627758,1/30/2012,0.53,T,8,Georgetown,Entire home/apt,4,3,31,299
638604,1/30/2012,0.53,T,8,Georgetown,Entire home/apt,2,1,31,159
645298,6/30/2011,1,T,6,Georgetown,Entire home/apt,2,1,180,69
654835,1/30/2012,0.53,T,8,Georgetown,Private room,2,2,31,139
713529,9/25/2012,1,F,17,Fort McNair,Private room,3,1,1,91
834919,6/30/2011,1,T,6,Georgetown,Entire home/apt,2,1,90,68
841260,12/10/2010,0.48,F,79,Petworth,Private room,1,1,31,39
842418,4/27/2012,0.93,T,10,Downtown,Entire home/apt,2,1,31,250
860336,4/15/2011,1,F,8,Dupont Circle,Private room,3,2,1,113
871825,1/5/2013,1,F,1,Capitol Hill,Entire home/apt,3,1,31,120
887461,12/10/2010,0.48,F,79,Petworth,Private room,1,1,31,39
925318,2/5/2013,1,F,3,Petworth,Private room,2,1,31,50
997859,1/27/2012,1,T,6,Dupont Circle,Entire home/apt,4,3,31,595
1048410,4/4/2013,0,F,1,Petworth,Entire home/apt,2,1,31,70
1083336,4/16/2013,1,T,3,Petworth,Entire home/apt,11,5,31,229
1092713,4/15/2011,1,F,8,Dupont Circle,Entire home/apt,6,3,1,143
1116453,4/28/2013,0.17,F,4,Georgetown,Entire home/apt,3,2,90,69
1138235,3/24/2013,1,F,1,Georgetown,Entire home/apt,6,5,3,999
1174482,5/2/2010,0.64,T,9,Takoma,Entire home/apt,6,3,5,190
1205516,9/25/2012,1,F,17,Fort McNair,Private room,1,1,1,70
1280092,2/26/2013,1,T,2,Petworth,Entire home/apt,4,2,2,120
1294389,6/21/2013,0.96,T,3,Petworth,Entire home/apt,4,3,31,100
1340402,6/26/2013,NA,F,1,Takoma,Entire home/apt,5,3,5,125
1571112,8/23/2013,0.93,T,5,Dupont Circle,Entire home/apt,2,1,180,145
1593951,5/2/2010,0.64,T,9,Takoma,Entire home/apt,2,1,14,90
1601459,8/22/2012,NA,F,4,Petworth,Private room,2,1,31,40
1628187,9/5/2013,0,F,4,Takoma,Private room,1,1,21,45
1644701,5/2/2010,0.64,T,9,Takoma,Entire home/apt,4,2,7,140
1806338,10/16/2013,1,F,2,Capitol Hill,Private room,1,1,4,95
1860120,12/6/2013,NA,F,2,Petworth,Entire home/apt,2,2,2,90
1864715,10/14/2013,0.63,F,383,Downtown,Entire home/apt,3,2,31,294
1867513,10/14/2013,0.63,F,383,Downtown,Entire home/apt,5,2,31,364
1880860,11/3/2013,0.86,F,3,Capitol Hill,Private room,2,1,2,69
1978626,9/22/2012,0.95,F,1,Takoma,Entire home/apt,2,1,5,84
1997483,11/27/2013,1,T,30,Capitol Hill,Entire home/apt,4,2,31,247
2060129,11/27/2013,1,T,30,Capitol Hill,Entire home/apt,4,2,31,166
2111965,10/10/2013,0.96,T,5,Takoma,Private room,1,1,1,75
2115421,12/10/2010,0.48,F,79,Dupont Circle,NA,1,1,31,55
2187594,1/9/2014,1,T,1,Petworth,Entire home/apt,4,2,7,69
2241084,1/18/2014,0.67,T,2,Georgetown,Entire home/apt,4,2,31,195
2277705,1/25/2014,0.99,T,3,Capitol Hill,Entire home/apt,4,2,3,114
2304761,12/10/2010,0.48,F,79,Dupont Circle,Private room,1,1,31,55
2308259,1/30/2014,0.88,T,1,Georgetown,Entire home/apt,4,2,31,199
2308761,1/29/2014,1,T,2,Fort McNair,Entire home/apt,4,4,2,149
2337016,2/4/2014,0.82,T,1,Takoma,Entire home/apt,4,2,4,125
2361802,2/8/2014,1,T,1,Capitol Hill,Entire home/apt,4,3,3,175
2371799,10/14/2013,0.63,F,383,Downtown,Entire home/apt,5,2,31,364
2380536,2/11/2014,0.96,T,2,Capitol Hill,Entire home/apt,2,1,31,111
2410486,9/5/2013,0,F,4,Takoma,Private room,1,1,21,35
2419118,9/5/2013,0,F,4,Takoma,Private room,1,1,21,40
2476761,11/27/2013,1,T,30,Capitol Hill,Entire home/apt,4,2,31,201
2477330,1/22/2014,1,F,4,Downtown,Private room,2,1,2,88
2547672,10/10/2013,0.96,T,5,Takoma,Private room,2,1,1,65
2657916,12/10/2010,0.48,F,79,Petworth,Private room,1,1,31,29
2685655,6/6/2012,0.62,F,2,Georgetown,Entire home/apt,6,2,4,350
2690487,8/29/2013,0.93,F,2,Capitol Hill,Entire home/apt,6,1,1,176
2694647,3/5/2012,0.99,F,23,Dupont Circle,Entire home/apt,4,2,31,250
2791050,4/14/2014,0.99,T,9,Capitol Hill,Private room,2,1,2,68
2964999,3/16/2013,0.86,F,44,Dupont Circle,Private room,1,1,31,73
3051210,9/8/2013,0.8,T,1,Takoma,Entire home/apt,2,2,30,100
3103276,4/14/2014,0.99,T,9,Capitol Hill,Private room,2,2,2,68
3635540,7/18/2014,1,T,1,Capitol Hill,Entire home/apt,4,2,3,130
3651862,7/20/2014,0.97,T,1,Georgetown,Entire home/apt,4,2,2,121
3760995,12/10/2010,0.48,F,79,Petworth,Private room,1,1,31,39
3761001,12/10/2010,0.48,F,79,Petworth,Private room,1,1,31,35
3806145,12/16/2010,0.98,F,2,Capitol Hill,Entire home/apt,2,1,31,164
3851703,10/10/2013,0.96,T,5,Takoma,Private room,1,1,1,80
3861766,8/23/2013,0.93,T,5,Dupont Circle,NA,2,1,7,145
3907276,8/18/2014,1,T,3,Dupont Circle,Entire home/apt,2,1,31,104
3914048,8/18/2014,NA,F,1,Petworth,Entire home/apt,3,1,31,275
3997598,8/30/2014,0.76,T,2,Georgetown,Entire home/apt,2,1,3,250
4033904,9/3/2014,1,T,1,Takoma,Entire home/apt,4,1,1,99
4054129,7/29/2013,1,T,2,Petworth,Entire home/apt,4,1,31,75
4055607,9/7/2014,0.98,T,2,Capitol Hill,Entire home/apt,5,2,3,168
4055742,10/4/2012,0.37,F,9,Georgetown,Entire home/apt,2,1,90,65
4083095,9/9/2014,0.92,T,2,Dupont Circle,Entire home/apt,2,1,3,139
4092017,10/14/2013,0.63,F,383,Downtown,Entire home/apt,3,2,31,294
4190758,8/16/2014,1,T,1,Takoma,Entire home/apt,1,2,3,59
4204367,1/22/2014,1,F,4,Downtown,Private room,1,1,2,80
4231934,9/25/2012,1,F,17,Fort McNair,Private room,3,1,1,83
4284144,1/15/2011,1,F,4,Dupont Circle,Entire home/apt,3,2,3,141
4325533,10/12/2014,0.69,F,1,Georgetown,Entire home/apt,3,2,3,145
4359352,3/12/2012,0,F,2,Dupont Circle,Entire home/apt,3,1,31,99
4417414,4/8/2013,0.47,F,32,Georgetown,Entire home/apt,6,3,31,854
4420920,8/3/2013,0.98,T,6,Petworth,Entire home/apt,2,1,1,79
4427874,8/9/2013,1,F,11,Downtown,Private room,1,1,31,59
4447266,10/14/2013,0.63,F,383,Downtown,Entire home/apt,3,2,31,294
4468741,1/7/2014,NA,F,1,Georgetown,Entire home/apt,6,2,60,180
4482916,11/2/2014,1,F,2,Takoma,Entire home/apt,3,2,31,60
4482945,10/20/2014,0.69,T,3,Petworth,Private room,1,1,2,60
4567511,8/5/2014,1,F,1,Georgetown,Entire home/apt,2,1,3,120
4579903,11/27/2013,1,T,30,Capitol Hill,Entire home/apt,4,2,31,145
4580159,11/27/2013,1,T,30,Capitol Hill,Entire home/apt,4,2,31,224
4622571,8/18/2014,1,T,3,Dupont Circle,Entire home/apt,2,1,31,127
4635196,11/21/2014,0.73,F,2,Capitol Hill,Entire home/apt,2,1,31,180
4645378,11/22/2014,1,T,1,Capitol Hill,Entire home/apt,4,2,3,199
4801046,9/19/2012,1,T,1,Capitol Hill,Entire home/apt,2,1,2,118
4841217,12/16/2014,1,T,3,Capitol Hill,Entire home/apt,4,2,31,110
4848799,3/7/2013,0.95,T,4,Capitol Hill,Private room,2,1,2,126
4860800,11/6/2014,0,F,14,Downtown,Entire home/apt,3,1,31,80
4954600,1/3/2015,0,F,4,Takoma,Entire home/apt,6,4,7,150
4978586,9/29/2014,0.96,T,9,Takoma,Entire home/apt,3,2,31,58
4978657,12/16/2014,1,T,3,Capitol Hill,Entire home/apt,4,2,31,260
5015395,10/10/2014,NA,F,1,Petworth,Private room,1,1,65,88
5026926,12/16/2014,1,T,3,Capitol Hill,Entire home/apt,6,3,31,275
5075773,10/21/2014,1,T,7,Georgetown,NA,2,1,1,195
5076606,3/16/2013,0.86,F,44,Dupont Circle,Entire home/apt,4,2,31,200
5089725,1/27/2012,1,T,6,Dupont Circle,Entire home/apt,3,2,31,284
5145487,1/22/2014,1,F,4,Downtown,Entire home/apt,9,3,1,339
5166322,10/21/2014,1,T,7,Georgetown,Entire home/apt,2,1,1,139
5318112,2/10/2015,0.98,T,2,Georgetown,Entire home/apt,4,2,2,147
5372128,2/16/2015,0,F,2,Georgetown,Entire home/apt,3,2,31,125
5565601,9/11/2011,0.98,T,1,Takoma,Private room,2,1,2,75
5692505,6/30/2011,1,T,6,Georgetown,Entire home/apt,2,1,135,67
5903980,4/5/2015,1,F,1,Georgetown,Entire home/apt,2,1,2,196
5986989,9/29/2014,0.96,T,9,Takoma,Entire home/apt,7,3,31,78
6027248,3/30/2015,0.92,F,682,Downtown,Entire home/apt,5,2,1,364
6047219,3/22/2013,NA,F,4,Petworth,Entire home/apt,6,2,31,112
6047348,3/22/2013,NA,F,4,Petworth,Private room,1,1,58,350
6072414,4/19/2015,1,F,1,Capitol Hill,Entire home/apt,16,6,7,395
6120408,12/27/2014,0.97,T,1,Takoma,Entire home/apt,2,1,2,80
6133291,11/3/2013,0.86,F,3,Capitol Hill,Private room,1,1,1,76
6133914,7/28/2013,NA,F,1,Capitol Hill,Entire home/apt,2,1,31,130
6155371,3/22/2013,NA,F,4,Petworth,Entire home/apt,2,1,70,350
6157551,11/2/2014,1,F,2,Takoma,Entire home/apt,7,3,31,158
6227307,10/22/2013,0.91,F,1,Capitol Hill,Entire home/apt,6,3,2,275
6334405,5/7/2015,1,T,4,Fort McNair,Private room,1,1,5,75
6404202,5/7/2015,1,T,4,Fort McNair,Private room,1,1,31,70
6438519,5/14/2012,0.99,T,4,Georgetown,Entire home/apt,3,2,2,102
6447693,5/18/2015,1,F,2,Dupont Circle,Entire home/apt,6,4,31,340
6490357,12/10/2010,0.48,F,79,Petworth,Private room,1,1,31,39
6569449,5/18/2009,0.96,F,158,Capitol Hill,Entire home/apt,2,2,1,159
6612371,9/5/2013,0,F,4,Takoma,Private room,1,1,21,31
6627551,5/31/2015,0.2,F,5,Bellevue,Entire home/apt,2,1,31,125
6674537,1/13/2015,NA,F,1,Georgetown,Entire home/apt,2,1,31,125
6690084,9/25/2014,NA,F,1,Capitol Hill,Entire home/apt,1,1,31,500
6832557,6/14/2015,0.96,T,2,Capitol Hill,Entire home/apt,3,1,2,122
6835726,2/27/2014,NA,F,3,Fort McNair,Entire home/apt,8,4,3,650
6836332,6/14/2015,0.79,F,1,Capitol Hill,Entire home/apt,2,1,1,121
6956685,4/26/2015,1,T,3,Takoma,Private room,2,1,1,63
6968949,3/30/2015,0.92,F,682,Downtown,Entire home/apt,3,2,1,294
6969950,3/30/2015,0.92,F,682,Downtown,Entire home/apt,5,2,1,364
7076206,3/27/2015,0.98,F,3,Capitol Hill,Entire home/apt,5,3,31,55
7181782,9/17/2014,0.97,F,3,Capitol Hill,Entire home/apt,6,3,2,145
7198161,11/26/2013,0.77,F,8,Georgetown,Entire home/apt,2,1,90,85
7220755,7/6/2015,NA,F,1,Capitol Hill,NA,4,2,31,159
7385563,5/19/2011,0.76,F,1,Takoma,Entire home/apt,2,1,3,80
7429332,9/10/2014,0.88,F,6,Georgetown,Entire home/apt,4,2,31,295
7452083,6/5/2013,0.75,F,1,Dupont Circle,Entire home/apt,3,1,31,200
7542054,11/26/2013,0.77,F,8,Georgetown,Entire home/apt,2,1,60,80
