listing_id,total_reviews,avg_rating
3571,9,4.5
3686,81,4.63
3943,443,4.82
4197,47,4.84
4373,24,4.9
4375,40,4.81
4967,31,4.74
5589,95,4.54
6165,22,4.94
11785,413,4.59
12442,115,4.61
13744,32,4.87
14218,101,4.6
17131,105,4.65
24712,157,4.27
26147,9,4.5
27281,15,4.77
27682,11,5
32087,15,4.85
34360,30,4.83
52092,196,4.35
62122,111,4.85
65012,15,4.5
67483,161,4.5
78264,42,4.69
79866,10,4.89
79867,10,4.9
93551,102,4.74
116951,82,4.67
153545,38,4.63
155859,130,4.87
158714,32,4.93
164069,198,4.85
174808,50,4.92
175608,186,4.31
196429,7,4.2
198685,153,4.73
201116,220,4.49
204741,116,4.59
205809,31,4.67
223203,11,4.7
223922,165,4.71
251611,1,5
251615,6,4.83
251619,9,4.22
262629,39,4.87
290001,147,4.83
298346,13,4.92
299030,26,4.86
303723,173,4.78
313405,14,4.69
322611,1,0
326938,25,4.8
339208,137,4.72
355527,149,4.78
382111,260,4.8
398284,94,4.77
409582,551,4.87
437005,105,4.85
453159,331,4.91
453315,875,4.88
494144,20,4.95
501809,32,4.91
542144,30,4.9
560341,22,4.72
563607,70,4.8
583236,23,4.81
610655,155,4.59
627758,12,4.58
638604,6,3.67
645298,11,5
654835,14,4.62
660514,6,4.2
688914,6,5
713529,605,4.31
723716,16,4.31
748316,696,4.87
763569,18,4.82
794213,268,4.6
800076,206,4.79
808830,379,4.89
815855,160,4.23
823194,13,4.77
828497,92,4.88
834919,18,4.94
841234,17,4.29
841260,14,4.43
842418,69,4.78
860336,464,4.73
860776,18,4.5
861775,22,4.82
871825,18,4.83
873182,43,4.57
883653,34,4.91
886283,54,4.64
887402,68,4.69
887461,16,4.44
888029,14,4.42
889302,121,4.74
892183,210,4.61
893529,1,0
898543,166,4.91
898544,127,4.91
900225,41,4.72
902573,23,4.74
902597,21,4.37
945426,378,4.96
997859,93,4.84
1002548,100,4.87
1003792,56,4.44
1018346,200,4.93
1026034,389,4.94
1048410,50,4.74
1083336,324,4.84
1092713,402,4.58
1112617,185,4.8
1116453,11,4.55
1126839,61,4.93
1138235,18,4.73
1174482,47,4.85
1177438,255,4.76
1205516,350,4.48
1225965,15,4.43
1245292,348,4.91
1270729,24,4.87
1273717,13,4.82
1280092,117,4.76
1294389,38,4.63
1340402,15,4.87
1396350,69,4.9
1407284,30,4.43
1416138,267,4.77
1446230,21,4.7
1449453,25,4.23
1472332,78,4.88
1484387,16,4.69
1488282,463,4.74
1520425,48,4.77
1537822,138,4.88
1561287,65,4.8
1571112,132,4.94
1613892,316,4.78
1628187,43,4.93
1628328,402,4.92
1641184,72,4.89
1644701,14,4.77
1667080,248,4.91
1688139,21,4.37
1688972,28,4.93
1761677,90,4.93
1778080,66,4.46
1789722,393,4.89
1806338,81,4.86
1813962,23,4.73
1824864,94,4.88
1838623,13,4.92
1841397,18,4.78
1860120,165,4.92
1864715,15,4.93
1865861,14,4.91
1867513,26,4.76
1880860,137,4.35
1896951,127,4.84
1901631,182,4.91
1936134,230,4.93
1971051,45,4.96
1978626,139,4.94
1997483,26,4.85
2033421,80,4.7
2060129,25,4.88
2089771,35,4.18
2097166,96,4.77
2098615,131,4.85
2111965,15,4.87
2115421,9,4.67
2137730,9,4.78
2141766,369,4.7
2187594,138,4.99
2241084,97,4.9
2241400,64,4.85
2257433,58,4.6
2257488,143,4.4
2259215,164,4.4
2277705,313,4.87
2304761,10,4.78
2308259,112,4.74
2308761,129,4.72
2310297,109,4.84
2318183,41,4.88
2318847,57,4.98
2337016,58,4.79
2343987,397,4.76
2351587,344,4.79
2361802,317,4.89
2365726,90,4.91
2371799,14,4.79
2380536,124,4.93
2410486,54,4.91
2413770,19,4.74
2419118,43,4.98
2420125,37,4.56
2466942,54,4.94
2468252,19,4.79
2476761,69,4.91
2477325,268,4.47
2477330,276,4.48
2479145,2,4
2483191,27,4.78
2501387,5,4.4
2501531,6,5
2516656,172,4.94
2523708,145,4.73
2538828,121,4.88
2543133,23,4.61
2547672,18,4.89
2551952,132,4.94
2648779,18,4.89
2657916,28,4.56
2685655,52,4.76
2694647,389,4.72
2788668,1,5
2791050,547,4.94
2874685,47,4.41
2897706,186,4.85
2919216,63,4.68
2964999,17,4.71
3011894,13,4.92
3051210,42,4.83
3103276,543,4.89
3119991,44,4.68
3136813,236,4.74
3175218,263,4.95
3199232,40,4.93
3201115,328,4.6
3317645,523,4.91
3391816,92,4.93
3410285,1,5
3544432,29,4.68
3601131,111,4.82
3604624,95,4.54
3627430,354,4.56
3633359,275,4.98
3635540,144,4.9
3645740,11,4.8
3651862,244,4.87
3698666,2,5
3760995,14,4
3761001,13,4.25
